Country,ISO 3166-1 alpha-3,Year,Total,Coal,Oil,Gas
China,CHN,1980,1494.495884,1122.664256,273.202496,27.318784
China,CHN,1981,1476.487854,1125.00473,256.374392,24.387646
China,CHN,1982,1606.585013,1248.85608,257.810032,22.9
China,CHN,1983,1694.216811,1321.84296,263.77136,23.438608
China,CHN,1984,1844.828012,1454.197632,271.451104,24.226368
China,CHN,1985,1998.082904,1584.511456,284.593872,24.819936
China,CHN,1986,2104.213354,1657.391354,303.068297,26.351535
China,CHN,1987,2257.738539,1770.268928,321.523328,26.60064
China,CHN,1988,2425.893553,1892.697824,343.129936,27.311456
China,CHN,1989,2463.654367,1920.239372,354.441244,28.821068
China,CHN,1990,2484.85482,1976.684032,330.29128,29.301008
China,CHN,1991,2606.096182,2049.920064,356.027216,30.7776
China,CHN,1992,2730.787587,2114.714976,385.793018,30.23895
China,CHN,1993,2921.650956,2228.745248,428.548768,35.727664
China,CHN,1994,3100.002045,2380.585832,423.711771,41.568029
China,CHN,1995,3357.908888,2569.753728,468.229888,42.436448
China,CHN,1996,3503.233703,2660.401088,510.622368,44.469968
China,CHN,1997,3510.169286,2609.55576,557.961248,44.158528
China,CHN,1998,3360.455433,2444.771024,559.261968,50.500912
China,CHN,1999,3552.842067,2580.992136,596.751382,54.571558
China,CHN,2000,3644.464203,2601.736784,648.685552,59.79648
China,CHN,2001,3723.730766,2637.654976,659.30016,67.157456
China,CHN,2002,4112.459057,3018.634032,653.086016,53.992704
China,CHN,2003,4827.445998,3601.712,727.098816,60.745456
China,CHN,2004,5223.754656,3835.288336,839.09264,71.52128
China,CHN,2005,5876.55534,4424.38992,850.172576,84.957168
China,CHN,2006,6488.803816,4905.374192,898.533712,103.753488
China,CHN,2007,6978.611952,5289.903664,927.351072,129.515072
China,CHN,2008,7496.832207,5729.473744,970.11728,149.6744
China,CHN,2009,7886.532768,6028.500112,982.347712,164.40368
China,CHN,2010,8616.652695,6568.793552,1092.571824,199.585408
China,CHN,2011,9528.555734,7309.786256,1123.85872,245.989968
China,CHN,2012,9779.281618,7464.806432,1176.71192,277.599296
China,CHN,2013,9956.308273,7493.454393,1234.621903,320.127464
China,CHN,2014,9998.621253,7425.066688,1255.605168,370.221552
China,CHN,2015,9866.904318,7266.978828,1328.805063,380.052208
China,CHN,2016,9764.979745,7071.403711,1357.837577,421.726239
China,CHN,2017,10011.107108,7163.317856,1430.586816,486.35936
China,CHN,2018,10353.876989,7316.399776,1500.473952,575.368912
China,CHN,2019,10740.996069,7543.157408,1559.72816,630.17136
China,CHN,2020,10956.213369,7605.716883,1627.725238,687.880944
China,CHN,2021,11472.369171,7955.985419,1713.33998,773.866062
