Total,Coal,Oil,Gas,Year
78.835287,77.614512,0.619216,0.014656,1950
102.115213,100.133456,0.937984,0.007328,1951
127.999326,125.444368,1.33736,0.014656,1952
133.782883,130.236986,1.908892,0.021983,1953
160.87741,155.591889,3.341492,0.029311,1954
190.521461,183.196336,5.419056,0.032976,1955
215.823984,205.022784,8.093776,0.047632,1956
255.784962,243.809709,8.98792,0.131906,1957
524.617059,508.174816,12.358672,0.212512,1958
720.151557,695.438192,19.049136,0.556928,1959
798.799921,748.375664,22.9916,1.993216,1960
570.630187,522.475408,22.335744,2.817616,1961
459.618074,411.9252,21.76416,2.322976,1962
456.779449,406.128498,23.270259,1.956592,1963
460.637094,401.574106,27.729385,2.029873,1964
500.286364,432.9932,34.998528,2.110464,1965
549.459318,469.765473,44.5466,2.568446,1966
460.225895,383.598816,42.498736,2.799296,1967
495.506566,412.720288,48.650592,2.685712,1968
607.683366,501.176576,66.84968,3.759264,1969
807.952627,665.866048,94.644784,5.503328,1970
909.2097,736.42428,120.090762,7.174082,1971
968.645596,770.72177,138.327537,9.280949,1972
1008.292576,783.741289,158.819143,11.468277,1973
1028.099867,776.101152,182.573456,14.439824,1974
1183.214956,906.63848,204.191056,16.971648,1975
1226.421277,910.389543,238.985133,19.367963,1976
1340.831115,998.608544,257.483936,23.237088,1977
1492.777845,1117.44672,281.992432,26.285536,1978
1525.661148,1147.547329,278.426677,27.776716,1979
1494.495884,1122.664256,273.202496,27.318784,1980
1476.487854,1125.00473,256.374392,24.387646,1981
1606.585013,1248.85608,257.810032,22.9,1982
1694.216811,1321.84296,263.77136,23.438608,1983
1844.828012,1454.197632,271.451104,24.226368,1984
1998.082904,1584.511456,284.593872,24.819936,1985
2104.213354,1657.391354,303.068297,26.351535,1986
2257.738539,1770.268928,321.523328,26.60064,1987
2425.893553,1892.697824,343.129936,27.311456,1988
2463.654367,1920.239372,354.441244,28.821068,1989
2484.85482,1976.684032,330.29128,29.301008,1990
2606.096182,2049.920064,356.027216,30.7776,1991
2730.787587,2114.714976,385.793018,30.23895,1992
2921.650956,2228.745248,428.548768,35.727664,1993
3100.002045,2380.585832,423.711771,41.568029,1994
3357.908888,2569.753728,468.229888,42.436448,1995
3503.233703,2660.401088,510.622368,44.469968,1996
3510.169286,2609.55576,557.961248,44.158528,1997
3360.455433,2444.771024,559.261968,50.500912,1998
3552.842067,2580.992136,596.751382,54.571558,1999
3644.464203,2601.736784,648.685552,59.79648,2000
3723.730766,2637.654976,659.30016,67.157456,2001
4112.459057,3018.634032,653.086016,53.992704,2002
4827.445998,3601.712,727.098816,60.745456,2003
5223.754656,3835.288336,839.09264,71.52128,2004
5876.55534,4424.38992,850.172576,84.957168,2005
6488.803816,4905.374192,898.533712,103.753488,2006
6978.611952,5289.903664,927.351072,129.515072,2007
7496.832207,5729.473744,970.11728,149.6744,2008
7886.532768,6028.500112,982.347712,164.40368,2009
8616.652695,6568.793552,1092.571824,199.585408,2010
9528.555734,7309.786256,1123.85872,245.989968,2011
9779.281618,7464.806432,1176.71192,277.599296,2012
9956.308273,7493.454393,1234.621903,320.127464,2013
9998.621253,7425.066688,1255.605168,370.221552,2014
9866.904318,7266.978828,1328.805063,380.052208,2015
9764.979745,7071.403711,1357.837577,421.726239,2016
10011.107108,7163.317856,1430.586816,486.35936,2017
10353.876989,7316.399776,1500.473952,575.368912,2018
10740.996069,7543.157408,1559.72816,630.17136,2019
10956.213369,7605.716883,1627.725238,687.880944,2020
11472.369171,7955.985419,1713.33998,773.866062,2021
12427.30564830152,8548.991110671734,1849.0471302934357,949.3416250630258,2022
13596.24649739688,9172.1315592988,2057.4391161743424,1206.7625387175058,2023
15144.456111239575,9972.384684538394,2352.9925252224693,1563.9415742864128,2024
17080.526762022797,10935.829288536384,2728.075915514578,2028.174626460549,2025
19303.73702225515,11962.704665612437,3191.1626157699648,2598.864852347561,2026
21886.961933205814,13108.38899207814,3753.2861592360314,3288.825517389403,2027
24875.183315291702,14393.449327515322,4416.422249606893,4109.414544210148,2028
28237.61023853869,15776.821316960642,5185.989314984837,5066.319066027749,2029
32004.27793841067,17271.113239693303,6071.643389111818,6170.597105463451,2030
36215.790549270314,18891.850014817588,7079.94839869562,7435.313061153079,2031
