Total,Coal,Oil,Gas,Year
1100.065995,551.17552,412.45648,115.45264,1980
1048.523357,557.748736,361.299712,110.000608,1981
1015.733894,550.812784,344.463632,102.016752,1982
1011.604905,553.73832,333.397148,106.021121,1983
1033.244579,572.331456,334.8896,108.531344,1984
1044.117955,579.375692,340.221911,108.531724,1985
1047.471904,573.762079,356.828387,100.550801,1986
1032.442842,560.223918,345.534743,109.54666,1987
1029.02413,552.86096,351.260352,107.637328,1988
1008.792342,546.77872,322.794736,121.908608,1989
1051.979103,569.133933,330.471639,122.299717,1990
1013.824095,504.058363,352.174663,130.161891,1991
965.541817,454.324533,353.960905,129.383593,1992
955.819934,430.790061,360.998807,136.302146,1993
939.492314,418.19707,350.052061,142.162168,1994
938.613565,406.059831,350.352795,152.984341,1995
958.700377,400.626928,360.038099,169.970819,1996
930.870087,386.878583,352.402027,162.892045,1997
922.812222,377.494523,351.197603,165.392745,1998
895.352121,360.066312,340.727569,165.641747,1999
899.351824,373.473132,331.125243,166.433444,2000
916.144477,376.533195,339.732989,173.813082,2001
899.449765,375.799127,325.00172,173.623112,2002
900.627666,379.536724,320.45557,174.872568,2003
886.637162,375.990449,311.160949,173.357043,2004
866.30277,363.239675,304.818223,173.429605,2005
877.938802,369.596095,304.553748,178.395732,2006
851.222968,379.386987,270.76992,174.440529,2007
854.508174,356.220854,292.852668,179.833964,2008
789.89998,317.904574,281.751205,167.411633,2009
832.540983,343.363951,281.83344,184.003635,2010
808.911525,344.697883,271.122024,168.410508,2011
813.693048,349.803212,271.558844,168.062225,2012
831.207653,356.889616,280.001778,170.536123,2013
792.255427,344.850129,270.940421,152.270963,2014
795.55657,341.018336,273.407683,157.455432,2015
800.339834,329.445089,277.783622,169.467961,2016
785.616471,310.763015,279.180926,171.412164,2017
754.408432,295.67355,265.224228,169.548548,2018
707.149948,240.086494,270.910415,172.478938,2019
639.381013,197.357678,251.383941,167.628086,2020
674.753566,230.221049,248.200624,173.484052,2021
706.6416381779006,267.5223102782753,241.45556105388863,174.99379890833853,2022
732.9440523790139,302.03682882894884,231.3661313611039,177.88671402006287,2023
752.3199017430669,333.93572366946466,216.78702332321313,180.93303468941642,2024
764.1436679694011,360.13326040859414,199.3055188144588,185.15354608024276,2025
766.7962059539161,379.4496577872949,178.4960070871467,190.4454957113107,2026
760.2086189669004,391.3197430232887,154.58188056375405,197.0577829695399,2027
744.006675672883,395.3134974098384,127.58403025773039,205.00095450971793,2028
718.0469740328592,391.1767010673108,97.54499407758371,214.33848098483455,2029
682.2274872370266,378.7774574617061,64.47117997239508,225.08501074956018,2030
636.4981593883566,358.02937039556855,28.378322437359657,237.25835707190862,2031
